,Unnamed: 0,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,user_type_cat,duration_trim,duration_time,ride_date,ride_id
22,22,10 minutes,5,Powell St BART Station (Market St at 5th St),356,Valencia St at Clinton Park,2165,2,1982,Male,29,2,10 ,10,2022-01-22,277441
23,23,3 minutes,16,Steuart St at Market St,20,Mechanics Monument Plaza (Market St at Bush St),2403,2,1992,Male,26,2,3 ,3,2015-05-02,158328
24,24,11 minutes,3,Powell St BART Station (Market St at 4th St),109,17th St at Valencia St,4980,1,1980,Male,26,1,11 ,11,2022-09-26,80211
25,25,3 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,2409,3,1990,Female,26,3,3 ,3,2017-05-05,173098
26,26,12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),370,Jones St at Post St,2852,3,1994,Male,27,3,12 ,12,2020-03-03,259695
27,27,7 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,2459,2,1977,Male,29,2,7 ,7,2021-09-17,381147
28,28,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5193,3,1990,Male,26,3,5 ,5,2017-04-28,453453
29,29,6 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,903,1,1990,Male,27,1,6 ,6,2019-11-13,129409
30,30,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,5218,1,1988,Female,29,1,6 ,6,2015-09-11,18473
31,31,9 minutes,5,Powell St BART Station (Market St at 5th St),15,San Francisco Ferry Building (Harry Bridges Plaza),2177,3,1990,Male,27,3,9 ,9,2016-03-13,255331
32,32,12 minutes,3,Powell St BART Station (Market St at 4th St),102,Irwin St at 8th St,5130,3,1980,Male,27,3,12 ,12,2017-09-21,216234
33,33,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),76,McCoppin St at Valencia St,3397,3,1979,Male,26,3,16 ,16,2020-05-06,289874
34,34,11 minutes,81,Berry St at 4th St,356,Valencia St at Clinton Park,5504,2,1994,Male,27,2,11 ,11,2017-02-13,307749
35,35,11 minutes,3,Powell St BART Station (Market St at 4th St),74,Laguna St at Hayes St,531,2,1988,Male,26,2,11 ,11,2018-02-13,254468
36,36,4 minutes,3,Powell St BART Station (Market St at 4th St),321,5th St at Folsom,3385,2,1990,Female,27,2,4 ,4,2016-11-05,347189
37,37,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),50,2nd St at Townsend St,2568,2,1989,Male,26,2,5 ,5,2021-10-13,196572
38,38,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),343,Bryant St at 2nd St,2804,1,1966,Male,27,1,6 ,6,2022-06-07,380667
39,39,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),130,22nd St Caltrain Station,5213,1,1986,Male,26,1,7 ,7,2021-10-22,36487
40,40,4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,1575,1,1988,Male,29,1,4 ,4,2018-11-26,24441
41,41,12 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,2899,1,1967,Female,26,1,12 ,12,2019-05-06,8109
42,42,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),50,2nd St at Townsend St,1894,2,1977,Male,27,2,3 ,3,2015-04-17,227792
43,43,3 minutes,30,San Francisco Caltrain (Townsend St at 4th St),50,2nd St at Townsend St,2960,1,1977,Female,27,1,3 ,3,2021-05-09,259860
44,44,2 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),80,Townsend St at 5th St,2193,2,1996,Female,27,2,2 ,2,2016-05-16,91167
45,45,1 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),64,5th St at Brannan St,2436,2,1990,Female,26,2,1 ,1,2022-08-12,341481
46,46,7 minutes,5,Powell St BART Station (Market St at 5th St),41,Golden Gate Ave at Polk St,3617,2,1989,Male,29,2,7 ,7,2019-11-05,276111
47,47,8 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,626,1,1994,Male,27,1,8 ,8,2019-02-01,17337
48,48,15 minutes,5,Powell St BART Station (Market St at 5th St),4,Cyril Magnin St at Ellis St,4719,1,1973,Male,26,1,15 ,15,2021-10-17,281421
49,49,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,2125,3,1991,Male,29,3,9 ,9,2022-01-06,391877
50,50,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,5374,2,1999,Female,29,2,11 ,11,2019-09-30,204093
51,51,16 minutes,22,Howard St at Beale St,350,8th St at Brannan St,1310,2,1987,Male,29,2,16 ,16,2017-05-16,418532
52,52,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,2531,2,1999,Female,27,2,13 ,13,2021-12-23,132853
53,53,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,1502,2,1998,Female,27,2,14 ,14,2015-10-18,340097
54,54,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,1202,1,1999,Male,26,1,12 ,12,2017-02-08,430071
55,55,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,377,2,1999,Male,26,2,11 ,11,2021-01-30,173493
56,56,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),27,Beale St at Harrison St,3711,3,1985,Male,27,3,5 ,5,2016-01-25,286615
57,57,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,2918,2,1999,Female,26,2,11 ,11,2016-01-31,309097
58,58,10 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,5233,1,1987,Male,26,1,10 ,10,2018-12-19,48005
59,59,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,507,2,1998,Male,29,2,10 ,10,2016-04-22,83608
60,60,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,608,1,1999,Male,26,1,10 ,10,2020-08-15,227971
61,61,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,157,1,1999,Male,26,1,8 ,8,2021-04-03,237643
62,62,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),28,The Embarcadero at Bryant St,4602,2,1991,Female,29,2,4 ,4,2019-09-13,258761
63,63,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),9,Broadway at Battery St,181,2,1967,Male,29,2,5 ,5,2015-05-25,119137
64,64,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,3715,2,1999,Male,27,2,10 ,10,2018-01-08,115641
65,65,10 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5392,2,1986,Male,26,2,10 ,10,2021-01-26,318295
66,66,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),28,The Embarcadero at Bryant St,1012,1,1991,Female,29,1,5 ,5,2022-11-08,44167
67,67,19 minutes,5,Powell St BART Station (Market St at 5th St),70,Central Ave at Fell St,465,2,1989,Male,29,2,19 ,19,2021-03-25,335948
68,68,19 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,3009,2,1992,Female,26,2,19 ,19,2021-10-03,220696
69,69,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),377,Fell St at Stanyan St,5105,1,1992,Male,29,1,20 ,20,2020-01-17,121548
70,70,38 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5271,2,1988,Male,27,2,38 ,38,2017-09-26,43258
71,71,9 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5125,1,1988,Male,27,1,9 ,9,2019-07-07,255621
72,72,13 minutes,5,Powell St BART Station (Market St at 5th St),370,Jones St at Post St,5373,2,1987,Male,26,2,13 ,13,2018-11-29,404569
73,73,20 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,443,1,1985,Female,26,1,20 ,20,2018-03-10,419664
74,74,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,1920,2,1990,Male,27,2,5 ,5,2022-02-02,194913
75,75,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,316,2,1999,Female,27,2,11 ,11,2022-10-03,443629
76,76,18 minutes,22,Howard St at Beale St,72,Page St at Scott St,5162,2,1980,Female,29,2,18 ,18,2020-01-28,164902
77,77,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),64,5th St at Brannan St,1299,2,1996,Male,26,2,9 ,9,2015-02-24,31282
78,78,15 minutes,16,Steuart St at Market St,90,Townsend St at 7th St,1547,2,1990,Female,26,2,15 ,15,2021-11-13,284985
79,79,14 minutes,16,Steuart St at Market St,90,Townsend St at 7th St,3309,3,1990,Male,29,3,14 ,14,2021-11-26,303222
80,80,22 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),365,Turk St at Fillmore St,3224,2,1986,Female,27,2,22 ,22,2017-03-30,205856
81,81,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,4799,2,1981,Male,29,2,3 ,3,2015-09-22,165356
82,82,4 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,5458,3,1980,Male,27,3,4 ,4,2019-04-16,492598
83,83,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),2568,2,1990,Male,27,2,12 ,12,2019-10-20,54836
84,84,79 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2684,1,1987,Male,29,1,79 ,79,2022-03-24,436680
85,85,78 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2030,2,1987,Male,27,2,78 ,78,2018-05-14,321980
86,86,80 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2086,2,1987,Male,26,2,80 ,80,2017-04-27,59642
87,87,5 minutes,5,Powell St BART Station (Market St at 5th St),62,Victoria Manalo Draves Park,1315,2,1985,Male,26,2,5 ,5,2019-06-05,124139
88,88,6 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,5224,2,1983,Female,26,2,6 ,6,2021-06-25,324686
89,89,11 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,192,2,2000,Female,26,2,11 ,11,2019-09-27,354272
90,90,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1159,2,1986,Female,27,2,7 ,7,2020-04-29,228529
91,91,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1602,3,1988,Male,26,3,7 ,7,2018-05-07,15442
92,92,22 minutes,21,Montgomery St BART Station (Market St at 2nd St),139,Garfield Square (25th St at Harrison St),4716,1,1975,Male,26,1,22 ,22,2022-12-13,184024
93,93,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1465,1,1999,Female,26,1,9 ,9,2018-12-22,447144
94,94,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,685,1,1991,Female,27,1,9 ,9,2020-02-17,76644
95,95,10 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,3109,1,2000,Female,29,1,10 ,10,2021-01-21,253300
96,96,6 minutes,5,Powell St BART Station (Market St at 5th St),88,11th St at Bryant St,4383,2,1985,Male,26,2,6 ,6,2017-03-19,334817
97,97,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),370,Jones St at Post St,4960,1,1988,Male,27,1,14 ,14,2022-03-16,49719
98,98,18 minutes,16,Steuart St at Market St,116,Mississippi St at 17th St,5262,1,1989,Female,26,1,18 ,18,2018-05-18,317525
99,99,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),355,23rd St at Tennessee St,4996,1,1994,Male,29,1,14 ,14,2018-02-24,203514
100,100,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),77,11th St at Natoma St,4799,2,1987,Male,27,2,9 ,9,2019-08-23,242925
101,101,10 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,1959,2,1990,Male,27,2,10 ,10,2015-12-17,219683
102,102,11 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,5222,2,1990,Male,26,2,11 ,11,2022-02-20,43518
103,103,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),60,8th St at Ringold St,5047,3,1987,Male,27,3,7 ,7,2017-01-29,276303
104,104,10 minutes,81,Berry St at 4th St,345,Hubbell St at 16th St,2499,2,1988,Male,26,2,10 ,10,2019-11-10,122102
105,105,19 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),52,McAllister St at Baker St,5518,2,1993,Male,29,2,19 ,19,2020-03-19,452205
106,106,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,955,2,1998,Male,29,2,6 ,6,2017-12-18,5844
107,107,5 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,593,2,2000,Female,26,2,5 ,5,2016-01-16,357068
108,108,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,1514,2,2000,Male,27,2,6 ,6,2022-08-13,36541
109,109,9 minutes,5,Powell St BART Station (Market St at 5th St),81,Berry St at 4th St,5224,2,1990,Female,26,2,9 ,9,2017-12-02,47890
110,110,8 minutes,5,Powell St BART Station (Market St at 5th St),55,Webster St at Grove St,5528,2,1996,Male,29,2,8 ,8,2022-11-10,165513
111,111,9 minutes,5,Powell St BART Station (Market St at 5th St),76,McCoppin St at Valencia St,4574,2,1977,Male,29,2,9 ,9,2016-04-14,226995
112,112,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,2152,2,2000,Male,27,2,6 ,6,2017-11-22,462065
113,113,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,5070,2,1987,Male,26,2,8 ,8,2015-02-18,273896
114,114,19 minutes,3,Powell St BART Station (Market St at 4th St),121,Mission Playground,3491,3,1961,Male,29,3,19 ,19,2017-03-22,302764
115,115,4 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,223,1,1988,Male,26,1,4 ,4,2021-04-29,114789
116,116,3 minutes,3,Powell St BART Station (Market St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),2568,2,1988,Male,29,2,3 ,3,2022-09-09,454171
117,117,8 minutes,5,Powell St BART Station (Market St at 5th St),47,4th St at Harrison St,5474,2,1997,Female,29,2,8 ,8,2018-05-28,358429
118,118,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,5245,1,1989,Male,27,1,3 ,3,2020-05-18,204981
119,119,19 minutes,16,Steuart St at Market St,85,Church St at Duboce Ave,4814,1,1970,Male,29,1,19 ,19,2018-01-17,372103
120,120,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,5546,2,1977,Female,27,2,16 ,16,2021-12-11,262735
121,121,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),72,Page St at Scott St,1122,3,1979,Male,27,3,20 ,20,2022-08-19,466210
122,122,27 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,5294,1,1983,Female,27,1,27 ,27,2018-07-16,285978
123,123,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),23,The Embarcadero at Steuart St,4924,2,1992,Male,29,2,5 ,5,2017-07-09,454305
124,124,16 minutes,22,Howard St at Beale St,125,20th St at Bryant St,4942,3,1958,Male,26,3,16 ,16,2019-10-24,184024
125,125,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),74,Laguna St at Hayes St,5253,1,1981,Male,27,1,12 ,12,2022-12-24,463846
126,126,10 minutes,81,Berry St at 4th St,321,5th St at Folsom,4832,1,1996,Male,27,1,10 ,10,2018-10-08,278809
127,127,25 minutes,3,Powell St BART Station (Market St at 4th St),134,Valencia St at 24th St,2738,2,1986,Female,27,2,25 ,25,2021-03-12,416843
128,128,9 minutes,5,Powell St BART Station (Market St at 5th St),73,Pierce St at Haight St,4414,3,1995,Female,27,3,9 ,9,2021-06-20,259520
129,129,11 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,5427,1,1969,Male,26,1,11 ,11,2022-07-23,447011
130,130,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),75,Market St at Franklin St,6235,2,1986,Male,26,2,9 ,9,2020-01-19,150818
131,131,14 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,5570,2,1962,Other,29,2,14 ,14,2022-03-01,37592
132,132,14 minutes,3,Powell St BART Station (Market St at 4th St),223,16th St Mission BART Station 2,5328,3,1989,Female,29,3,14 ,14,2020-07-15,24782
133,133,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,5571,2,1988,Male,27,2,11 ,11,2016-04-02,41953
134,134,16 minutes,22,Howard St at Beale St,115,Jackson Playground,5332,2,1982,Male,27,2,16 ,16,2015-03-01,251225
135,135,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4574,2,1979,Male,27,2,5 ,5,2015-09-18,322578
136,136,14 minutes,22,Howard St at Beale St,114,Rhode Island St at 17th St,5445,3,1994,Male,27,3,14 ,14,2019-03-31,151040
137,137,10 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,4413,2,1978,Male,27,2,10 ,10,2019-08-09,135000
138,138,9 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,5392,3,1988,Male,26,3,9 ,9,2015-08-01,374632
139,139,17 minutes,22,Howard St at Beale St,356,Valencia St at Clinton Park,5325,1,1995,Male,27,1,17 ,17,2017-07-17,18439
140,140,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),58,Market St at 10th St,5222,3,1995,Male,27,3,10 ,10,2016-10-14,252421
141,141,24 minutes,21,Montgomery St BART Station (Market St at 2nd St),21,Montgomery St BART Station (Market St at 2nd St),5353,1,1965,Male,26,1,24 ,24,2021-02-22,112898
142,142,8 minutes,5,Powell St BART Station (Market St at 5th St),74,Laguna St at Hayes St,4968,2,1993,Female,26,2,8 ,8,2022-04-28,208824
143,143,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,5526,3,1975,Male,29,3,6 ,6,2022-08-28,68623
144,144,18 minutes,21,Montgomery St BART Station (Market St at 2nd St),134,Valencia St at 24th St,5485,3,1986,Other,27,3,18 ,18,2015-01-10,443188
145,145,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,3397,2,1992,Female,29,2,9 ,9,2019-12-02,248545
146,146,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,4728,3,1991,Female,29,3,11 ,11,2020-07-20,130472
147,147,14 minutes,5,Powell St BART Station (Market St at 5th St),126,Esprit Park,1338,1,1984,Male,27,1,14 ,14,2017-12-03,178539
148,148,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),86,Market St at Dolores St,4426,1,1987,Male,27,1,13 ,13,2022-01-24,50389
149,149,17 minutes,3,Powell St BART Station (Market St at 4th St),85,Church St at Duboce Ave,149,3,1984,Male,27,3,17 ,17,2021-04-28,252679
150,150,5 minutes,16,Steuart St at Market St,10,Washington St at Kearny St,3554,2,1989,Male,26,2,5 ,5,2016-05-28,308424
151,151,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4319,1,1992,Male,26,1,6 ,6,2016-09-25,42198
152,152,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,5494,2,1994,Male,26,2,5 ,5,2015-06-18,376590
153,153,32 minutes,21,Montgomery St BART Station (Market St at 2nd St),4,Cyril Magnin St at Ellis St,5027,3,1975,Male,29,3,32 ,32,2018-09-02,340963
154,154,10 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,5229,1,1991,Male,27,1,10 ,10,2018-10-21,363341
155,155,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),136,23rd St at San Bruno Ave,5574,2,1980,Female,27,2,13 ,13,2018-10-19,466891
156,156,11 minutes,3,Powell St BART Station (Market St at 4th St),364,China Basin St at 3rd St,4748,1,1996,Male,26,1,11 ,11,2018-06-14,133198
157,157,6 minutes,81,Berry St at 4th St,49,S Park St at 3rd St,3711,2,1978,Male,27,2,6 ,6,2022-03-05,148105
158,158,6 minutes,16,Steuart St at Market St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6235,3,1967,Male,27,3,6 ,6,2015-08-08,432041
159,159,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,967,2,1983,Male,29,2,13 ,13,2018-10-24,345454
160,160,21 minutes,81,Berry St at 4th St,55,Webster St at Grove St,4969,2,1969,Female,29,2,21 ,21,2019-10-17,333401
161,161,7 minutes,5,Powell St BART Station (Market St at 5th St),43,San Francisco Public Library (Grove St at Hyde St),5530,3,1990,Female,26,3,7 ,7,2015-09-24,178330
162,162,18 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,5535,3,1993,Male,27,3,18 ,18,2017-12-04,134591
163,163,19 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,4344,1,1991,Female,26,1,19 ,19,2021-01-26,341404
164,164,13 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,3616,1,1991,Male,27,1,13 ,13,2021-10-21,273971
165,165,10 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),3108,1,1992,Male,27,1,10 ,10,2016-09-26,439787
166,166,1 minutes,3,Powell St BART Station (Market St at 4th St),3,Powell St BART Station (Market St at 4th St),4319,2,1991,Male,27,2,1 ,1,2019-11-03,267020
167,167,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4968,2,1993,Female,27,2,8 ,8,2022-06-27,192561
168,168,3 minutes,22,Howard St at Beale St,27,Beale St at Harrison St,1718,2,1986,Male,27,2,3 ,3,2021-04-26,29222
169,169,8 minutes,22,Howard St at Beale St,4,Cyril Magnin St at Ellis St,1475,2,1994,Other,26,2,8 ,8,2021-05-12,392197
170,170,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5253,1,1988,Other,27,1,8 ,8,2017-06-11,109101
171,171,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,5114,3,1993,Male,26,3,6 ,6,2019-06-12,60318
172,172,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,3432,2,1988,Male,26,2,11 ,11,2022-11-29,171396
173,173,12 minutes,5,Powell St BART Station (Market St at 5th St),53,Grove St at Divisadero,4778,1,1994,Male,27,1,12 ,12,2021-07-25,205644
174,174,9 minutes,81,Berry St at 4th St,3,Powell St BART Station (Market St at 4th St),2738,1,1993,Female,26,1,9 ,9,2021-04-24,418829
175,175,12 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,1565,3,1992,Female,26,3,12 ,12,2016-01-15,99692
176,176,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),11,Davis St at Jackson St,5307,3,1987,Female,26,3,4 ,4,2020-08-24,381111
177,177,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),55,Webster St at Grove St,4953,1,1992,Female,29,1,16 ,16,2019-07-21,273156
178,178,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),74,Laguna St at Hayes St,4347,3,1988,Male,26,3,14 ,14,2018-11-27,158784
179,179,8 minutes,22,Howard St at Beale St,323,Broadway at Kearny,5359,3,1985,Male,27,3,8 ,8,2017-06-29,192600
180,180,18 minutes,5,Powell St BART Station (Market St at 5th St),109,17th St at Valencia St,4320,1,1980,Male,29,1,18 ,18,2015-11-25,332148
181,181,11 minutes,22,Howard St at Beale St,104,4th St at 16th St,2473,3,1982,Male,27,3,11 ,11,2018-11-26,206712
182,182,6 minutes,22,Howard St at Beale St,47,4th St at Harrison St,3225,1,1986,Male,26,1,6 ,6,2015-08-13,1725
